,region,price,time,service,hist_price
28,SA1,12.020419185981154,2019/01/05 14:10:00,raise_reg,14.0
29,TAS1,3.725290298461914e-09,2019/01/05 14:10:00,lower_5min,0.0
30,TAS1,3.725290298461914e-09,2019/01/05 14:10:00,lower_60s,0.0
31,TAS1,3.725290298461914e-09,2019/01/05 14:10:00,lower_6s,0.0
32,TAS1,3.725290298461914e-09,2019/01/05 14:10:00,lower_reg,0.0
33,TAS1,11.609999999403954,2019/01/05 14:10:00,raise_5min,14.4
34,TAS1,8.08674630522728,2019/01/05 14:10:00,raise_60s,4.95
35,TAS1,29.243875220417976,2019/01/05 14:10:00,raise_6s,15.0
36,TAS1,11.609999999403954,2019/01/05 14:10:00,raise_reg,14.85
37,VIC1,3.725290298461914e-09,2019/01/05 14:10:00,lower_5min,0.19
38,VIC1,3.725290298461914e-09,2019/01/05 14:10:00,lower_60s,0.14
39,VIC1,3.725290298461914e-09,2019/01/05 14:10:00,lower_6s,0.03
40,VIC1,24.78999999910593,2019/01/05 14:10:00,lower_reg,23.73
41,VIC1,2.7899999991059303,2019/01/05 14:10:00,raise_5min,2.79
42,VIC1,0.35999999940395355,2019/01/05 14:10:00,raise_60s,0.36
43,VIC1,0.25,2019/01/05 14:10:00,raise_6s,0.25
44,VIC1,12.020419185981154,2019/01/05 14:10:00,raise_reg,14.0
0,NSW1,255.83643838949502,2019/01/16 12:20:00,energy,282.10418
1,QLD1,116.19999999925494,2019/01/16 12:20:00,energy,121.0
2,SA1,241.7782129459083,2019/01/16 12:20:00,energy,263.07344
3,TAS1,214.94789209403098,2019/01/16 12:20:00,energy,236.68847999999997
4,VIC1,240.31289637088776,2019/01/16 12:20:00,energy,264.39272
5,NSW1,0.14000000059604645,2019/01/16 12:20:00,lower_5min,0.14
6,NSW1,0.0,2019/01/16 12:20:00,lower_60s,0.0
7,NSW1,0.0,2019/01/16 12:20:00,lower_6s,0.0
8,NSW1,5.810000000521541,2019/01/16 12:20:00,lower_reg,6.0
9,NSW1,2.0,2019/01/16 12:20:00,raise_5min,2.0
10,NSW1,0.0,2019/01/16 12:20:00,raise_60s,1.49
11,NSW1,0.0,2019/01/16 12:20:00,raise_6s,0.73
12,NSW1,238.0,2019/01/16 12:20:00,raise_reg,252.29467000000002
13,QLD1,0.14000000059604645,2019/01/16 12:20:00,lower_5min,0.14
14,QLD1,0.0,2019/01/16 12:20:00,lower_60s,0.0
15,QLD1,0.0,2019/01/16 12:20:00,lower_6s,0.0
16,QLD1,5.810000000521541,2019/01/16 12:20:00,lower_reg,6.0
17,QLD1,2.0,2019/01/16 12:20:00,raise_5min,2.0
18,QLD1,0.0,2019/01/16 12:20:00,raise_60s,1.49
19,QLD1,0.0,2019/01/16 12:20:00,raise_6s,0.73
20,QLD1,238.0,2019/01/16 12:20:00,raise_reg,252.29467000000002
21,SA1,0.14000000059604645,2019/01/16 12:20:00,lower_5min,0.14
22,SA1,0.0,2019/01/16 12:20:00,lower_60s,0.0
23,SA1,0.0,2019/01/16 12:20:00,lower_6s,0.0
24,SA1,5.810000000521541,2019/01/16 12:20:00,lower_reg,6.0
25,SA1,2.0,2019/01/16 12:20:00,raise_5min,2.0
26,SA1,0.0,2019/01/16 12:20:00,raise_60s,1.49
27,SA1,0.0,2019/01/16 12:20:00,raise_6s,0.73
28,SA1,238.0,2019/01/16 12:20:00,raise_reg,252.29467000000002
29,TAS1,0.14000000059604645,2019/01/16 12:20:00,lower_5min,0.14
30,TAS1,0.0,2019/01/16 12:20:00,lower_60s,0.05
31,TAS1,5.810000000521541,2019/01/16 12:20:00,lower_reg,5.95
32,TAS1,2.0,2019/01/16 12:20:00,raise_5min,2.0
33,TAS1,0.0,2019/01/16 12:20:00,raise_60s,0.0
34,TAS1,0.0,2019/01/16 12:20:00,raise_6s,0.0
35,TAS1,2.0,2019/01/16 12:20:00,raise_reg,2.0
36,VIC1,0.14000000059604645,2019/01/16 12:20:00,lower_5min,0.14
37,VIC1,0.0,2019/01/16 12:20:00,lower_60s,0.0
38,VIC1,0.0,2019/01/16 12:20:00,lower_6s,0.0
39,VIC1,5.810000000521541,2019/01/16 12:20:00,lower_reg,6.0
40,VIC1,2.0,2019/01/16 12:20:00,raise_5min,2.0
41,VIC1,0.0,2019/01/16 12:20:00,raise_60s,1.49
42,VIC1,0.0,2019/01/16 12:20:00,raise_6s,0.73
43,VIC1,238.0,2019/01/16 12:20:00,raise_reg,252.29467000000002
0,NSW1,90.03281758539379,2019/01/08 17:00:00,energy,91.64203
1,QLD1,89.12042077071965,2019/01/08 17:00:00,energy,91.30806
2,SA1,76.53999999910593,2019/01/08 17:00:00,energy,76.5
3,TAS1,69.36645429208875,2019/01/08 17:00:00,energy,70.93249
4,VIC1,88.80838980153203,2019/01/08 17:00:00,energy,90.39572
5,NSW1,0.14999999850988388,2019/01/08 17:00:00,lower_5min,0.15
6,NSW1,0.04999999888241291,2019/01/08 17:00:00,lower_60s,0.05
7,NSW1,15.79004093259573,2019/01/08 17:00:00,lower_reg,19.151989999999998
8,NSW1,8.72999999858439,2019/01/08 17:00:00,raise_5min,8.73
9,NSW1,9.369999999180436,2019/01/08 17:00:00,raise_60s,9.37
10,NSW1,2.7799999993294477,2019/01/08 17:00:00,raise_6s,2.78
11,NSW1,10.259999999776483,2019/01/08 17:00:00,raise_reg,18.73
12,QLD1,0.14999999850988388,2019/01/08 17:00:00,lower_5min,0.15
13,QLD1,0.04999999888241291,2019/01/08 17:00:00,lower_60s,0.05
14,QLD1,15.79004093259573,2019/01/08 17:00:00,lower_reg,19.151989999999998
15,QLD1,8.72999999858439,2019/01/08 17:00:00,raise_5min,8.73
16,QLD1,9.369999999180436,2019/01/08 17:00:00,raise_60s,9.37
17,QLD1,2.7799999993294477,2019/01/08 17:00:00,raise_6s,2.78
18,QLD1,10.259999999776483,2019/01/08 17:00:00,raise_reg,18.73
19,SA1,0.14999999850988388,2019/01/08 17:00:00,lower_5min,0.15
20,SA1,0.04999999888241291,2019/01/08 17:00:00,lower_60s,0.05
21,SA1,15.79004093259573,2019/01/08 17:00:00,lower_reg,19.151989999999998
22,SA1,8.72999999858439,2019/01/08 17:00:00,raise_5min,8.73
23,SA1,9.369999999180436,2019/01/08 17:00:00,raise_60s,9.37
24,SA1,2.7799999993294477,2019/01/08 17:00:00,raise_6s,2.78
25,SA1,10.259999999776483,2019/01/08 17:00:00,raise_reg,18.73
