,region,price,time,SETTLEMENTDATE,REGIONID,RRP
4,VIC1,56.86219833046198,2020/01/02 00:55:00,2020/01/02 00:55:00,VIC1,65.5659
0,NSW1,48.25,2020/01/02 01:00:00,2020/01/02 01:00:00,NSW1,49.01
1,QLD1,50.499839931726456,2020/01/02 01:00:00,2020/01/02 01:00:00,QLD1,52.44256
2,SA1,58.762707997113466,2020/01/02 01:00:00,2020/01/02 01:00:00,SA1,67.00599
3,TAS1,60.46720414236188,2020/01/02 01:00:00,2020/01/02 01:00:00,TAS1,70.46
4,VIC1,54.25020143017173,2020/01/02 01:00:00,2020/01/02 01:00:00,VIC1,64.05055
0,NSW1,50.06494619138539,2020/01/02 01:05:00,2020/01/02 01:05:00,NSW1,48.5
1,QLD1,51.399999998509884,2020/01/02 01:05:00,2020/01/02 01:05:00,QLD1,51.1707
2,SA1,61.654136169701815,2020/01/02 01:05:00,2020/01/02 01:05:00,SA1,66.7678
3,TAS1,63.76444134488702,2020/01/02 01:05:00,2020/01/02 01:05:00,TAS1,70.46
4,VIC1,56.691520534455776,2020/01/02 01:05:00,2020/01/02 01:05:00,VIC1,63.53844
0,NSW1,49.30886558815837,2020/01/02 01:10:00,2020/01/02 01:10:00,NSW1,47.49018
1,QLD1,51.290000000968575,2020/01/02 01:10:00,2020/01/02 01:10:00,QLD1,50.45458
2,SA1,59.218903271481395,2020/01/02 01:10:00,2020/01/02 01:10:00,SA1,54.324180000000005
3,TAS1,61.99424737878144,2020/01/02 01:10:00,2020/01/02 01:10:00,TAS1,70.46
4,VIC1,55.11768117360771,2020/01/02 01:10:00,2020/01/02 01:10:00,VIC1,51.89448
0,NSW1,47.84999999962747,2020/01/02 01:15:00,2020/01/02 01:15:00,NSW1,44.64905
1,QLD1,49.77403578720987,2020/01/02 01:15:00,2020/01/02 01:15:00,QLD1,47.75
2,SA1,56.86017602868378,2020/01/02 01:15:00,2020/01/02 01:15:00,SA1,50.71185
3,TAS1,59.61476498283446,2020/01/02 01:15:00,2020/01/02 01:15:00,TAS1,70.46
4,VIC1,53.00213727168739,2020/01/02 01:15:00,2020/01/02 01:15:00,VIC1,48.454029999999996
0,NSW1,47.84999999962747,2020/01/02 01:20:00,2020/01/02 01:20:00,NSW1,44.640029999999996
1,QLD1,49.76386268809438,2020/01/02 01:20:00,2020/01/02 01:20:00,QLD1,47.75
2,SA1,57.12280065566301,2020/01/02 01:20:00,2020/01/02 01:20:00,SA1,50.69921
3,TAS1,59.63544649258256,2020/01/02 01:20:00,2020/01/02 01:20:00,TAS1,70.46
4,VIC1,53.02052473463118,2020/01/02 01:20:00,2020/01/02 01:20:00,VIC1,48.427209999999995
0,NSW1,46.540000000968575,2020/01/02 01:25:00,2020/01/02 01:25:00,NSW1,40.63355
1,QLD1,48.103979455307126,2020/01/02 01:25:00,2020/01/02 01:25:00,QLD1,43.73
2,SA1,54.60970293916762,2020/01/02 01:25:00,2020/01/02 01:25:00,SA1,45.645540000000004
3,TAS1,57.26754957251251,2020/01/02 01:25:00,2020/01/02 01:25:00,TAS1,70.46
4,VIC1,51.07002844102681,2020/01/02 01:25:00,2020/01/02 01:25:00,VIC1,43.80492
0,NSW1,42.112169774249196,2020/01/02 01:30:00,2020/01/02 01:30:00,NSW1,40.925129999999996
1,QLD1,43.25999999977648,2020/01/02 01:30:00,2020/01/02 01:30:00,QLD1,43.73
2,SA1,49.64073312096298,2020/01/02 01:30:00,2020/01/02 01:30:00,SA1,46.11257
3,TAS1,144.26793841272593,2020/01/02 01:30:00,2020/01/02 01:30:00,TAS1,70.46
4,VIC1,136.85050739720464,2020/01/02 01:30:00,2020/01/02 01:30:00,VIC1,44.05193
0,NSW1,38.65120063908398,2020/01/02 01:35:00,2020/01/02 01:35:00,NSW1,38.4
1,QLD1,40.330000000074506,2020/01/02 01:35:00,2020/01/02 01:35:00,QLD1,41.31517
2,SA1,44.78539191931486,2020/01/02 01:35:00,2020/01/02 01:35:00,SA1,42.3662
3,TAS1,47.263406006619334,2020/01/02 01:35:00,2020/01/02 01:35:00,TAS1,70.46
